node_id,node_name,date,uptime_hours,downtime_hours
N001,Core Switch,2023-01-01,23.5,0.5
N001,Core Switch,2023-01-02,24.0,0.0
N001,Core Switch,2023-01-03,23.8,0.2
N001,Core Switch,2023-01-04,22.0,2.0
N001,Core Switch,2023-01-05,24.0,0.0
N002,Router-01,2023-01-01,22.0,2.0
N002,Router-01,2023-01-02,21.5,2.5
N002,Router-01,2023-01-03,23.0,1.0
N002,Router-01,2023-01-04,20.0,4.0
N002,Router-01,2023-01-05,22.5,1.5
N003,Firewall-Main,2023-01-01,24.0,0.0
N003,Firewall-Main,2023-01-02,24.0,0.0
N003,Firewall-Main,2023-01-03,23.9,0.1
N003,Firewall-Main,2023-01-04,24.0,0.0
N003,Firewall-Main,2023-01-05,23.7,0.3
N004,Switch-Floor1,2023-01-01,23.0,1.0
N004,Switch-Floor1,2023-01-02,22.5,1.5
N004,Switch-Floor1,2023-01-03,24.0,0.0
N004,Switch-Floor1,2023-01-04,23.5,0.5
N004,Switch-Floor1,2023-01-05,21.0,3.0
N005,Switch-Floor2,2023-01-01,24.0,0.0
N005,Switch-Floor2,2023-01-02,24.0,0.0
N005,Switch-Floor2,2023-01-03,22.0,2.0
N005,Switch-Floor2,2023-01-04,24.0,0.0
N005,Switch-Floor2,2023-01-05,23.5,0.5
N006,VPN-Gateway,2023-01-01,18.0,6.0
N006,VPN-Gateway,2023-01-02,19.5,4.5
N006,VPN-Gateway,2023-01-03,20.0,4.0
N006,VPN-Gateway,2023-01-04,17.5,6.5
N006,VPN-Gateway,2023-01-05,21.0,3.0
N007,DNS-Server,2023-01-01,24.0,0.0
N007,DNS-Server,2023-01-02,23.5,0.5
N007,DNS-Server,2023-01-03,24.0,0.0
N007,DNS-Server,2023-01-04,23.0,1.0
N007,DNS-Server,2023-01-05,24.0,0.0
N008,DHCP-Server,2023-01-01,24.0,0.0
N008,DHCP-Server,2023-01-02,24.0,0.0
N008,DHCP-Server,2023-01-03,24.0,0.0
N008,DHCP-Server,2023-01-04,23.5,0.5
N008,DHCP-Server,2023-01-05,24.0,0.0
N009,LoadBalancer-01,2023-01-01,22.5,1.5
N009,LoadBalancer-01,2023-01-02,23.0,1.0
N009,LoadBalancer-01,2023-01-03,21.5,2.5
N009,LoadBalancer-01,2023-01-04,22.0,2.0
N009,LoadBalancer-01,2023-01-05,23.5,0.5
N010,Backup-Server,2023-01-01,23.0,1.0
N010,Backup-Server,2023-01-02,22.0,2.0
N010,Backup-Server,2023-01-03,23.5,0.5
N010,Backup-Server,2023-01-04,21.0,3.0
N010,Backup-Server,2023-01-05,22.5,1.5
N011,AP-Floor1,2023-01-01,24.0,0.0
N011,AP-Floor1,2023-01-02,23.5,0.5
N011,AP-Floor1,2023-01-03,24.0,0.0
N011,AP-Floor1,2023-01-04,22.0,2.0
N011,AP-Floor1,2023-01-05,24.0,0.0
N012,AP-Floor2,2023-01-01,23.0,1.0
N012,AP-Floor2,2023-01-02,22.5,1.5
N012,AP-Floor2,2023-01-03,23.0,1.0
N012,AP-Floor2,2023-01-04,23.5,0.5
N012,AP-Floor2,2023-01-05,24.0,0.0
N013,ProxyServer-01,2023-01-01,10.5,13.5
N013,ProxyServer-01,2023-01-02,11.0,13.0
N013,ProxyServer-01,2023-01-03,9.5,14.5
N013,ProxyServer-01,2023-01-04,12.0,12.0
N013,ProxyServer-01,2023-01-05,13.5,10.5
N014,WebServer-01,2023-01-01,24.0,0.0
N014,WebServer-01,2023-01-02,23.5,0.5
N014,WebServer-01,2023-01-03,24.0,0.0
N014,WebServer-01,2023-01-04,22.5,1.5
N014,WebServer-01,2023-01-05,23.0,1.0
N015,DBServer-Primary,2023-01-01,24.0,0.0
N015,DBServer-Primary,2023-01-02,24.0,0.0
N015,DBServer-Primary,2023-01-03,24.0,0.0
N015,DBServer-Primary,2023-01-04,24.0,0.0
N015,DBServer-Primary,2023-01-05,23.5,0.5
N016,DBServer-Replica,2023-01-01,23.5,0.5
N016,DBServer-Replica,2023-01-02,22.0,2.0
N016,DBServer-Replica,2023-01-03,23.0,1.0
N016,DBServer-Replica,2023-01-04,22.5,1.5
N016,DBServer-Replica,2023-01-05,21.0,3.0
N017,MonitoringServer,2023-01-01,24.0,0.0
N017,MonitoringServer,2023-01-02,23.5,0.5
N017,MonitoringServer,2023-01-03,24.0,0.0
N017,MonitoringServer,2023-01-04,24.0,0.0
N017,MonitoringServer,2023-01-05,23.0,1.0
N018,FileServer-01,2023-01-01,23.5,0.5
N018,FileServer-01,2023-01-02,22.5,1.5
N018,FileServer-01,2023-01-03,23.0,1.0
N018,FileServer-01,2023-01-04,21.5,2.5
N018,FileServer-01,2023-01-05,22.0,2.0
N019,MailServer-01,2023-01-01,24.0,0.0
N019,MailServer-01,2023-01-02,23.0,1.0
N019,MailServer-01,2023-01-03,24.0,0.0
N019,MailServer-01,2023-01-04,22.0,2.0
N019,MailServer-01,2023-01-05,23.5,0.5
N020,Switch-Floor3,2023-01-01,22.0,2.0
N020,Switch-Floor3,2023-01-02,23.5,0.5
N020,Switch-Floor3,2023-01-03,21.0,3.0
N020,Switch-Floor3,2023-01-04,22.5,1.5
N020,Switch-Floor3,2023-01-05,24.0,0.0
N021,AppServer-01,2023-01-01,24.0,0.0
N021,AppServer-01,2023-01-02,23.5,0.5
N021,AppServer-01,2023-01-03,24.0,0.0
N021,AppServer-01,2023-01-04,24.0,0.0
N021,AppServer-01,2023-01-05,23.8,0.2
N022,CacheServer-01,2023-01-01,22.0,2.0
N022,CacheServer-01,2023-01-02,21.5,2.5
N022,CacheServer-01,2023-01-03,23.0,1.0
N022,CacheServer-01,2023-01-04,22.5,1.5
N022,CacheServer-01,2023-01-05,21.0,3.0
N023,Switch-Floor5,2023-01-01,24.0,0.0
N023,Switch-Floor5,2023-01-02,24.0,0.0
N023,Switch-Floor5,2023-01-03,23.5,0.5
N023,Switch-Floor5,2023-01-04,24.0,0.0
N023,Switch-Floor5,2023-01-05,24.0,0.0
N024,StorageNode-02,2023-01-01,8.0,16.0
N024,StorageNode-02,2023-01-02,7.5,16.5
N024,StorageNode-02,2023-01-03,9.0,15.0
N024,StorageNode-02,2023-01-04,6.5,17.5
N024,StorageNode-02,2023-01-05,8.5,15.5
N025,LogServer-01,2023-01-01,23.0,1.0
N025,LogServer-01,2023-01-02,22.5,1.5
N025,LogServer-01,2023-01-03,23.5,0.5
N025,LogServer-01,2023-01-04,24.0,0.0
N025,LogServer-01,2023-01-05,23.0,1.0
