asset_id,name,type,location,status,purchase_date
A001,Dell Latitude 5520,Laptop,Floor-1,Active,2021-03-10
A002,Cisco Catalyst 9200,Network,Server Room,Active,2020-08-15
A003,HP ProBook 450,Laptop,Floor-2,Active,2022-01-20
A004,Dell PowerEdge R740,Server,Data Center,Active,2019-05-12
A005,Fortinet FortiGate 100F,Firewall,Server Room,Active,2021-11-01
A006,HP LaserJet Pro M404n,Printer,Floor-1,Inactive,2018-06-25
A007,Lenovo ThinkPad X1,Laptop,Floor-3,Active,2022-07-14
A008,Cisco ASR 1001-X,Router,Server Room,Active,2020-02-28
A009,Dell OptiPlex 7090,Desktop,Floor-2,Active,2021-09-05
A010,APC Smart-UPS 1500,UPS,Server Room,Active,2020-04-18
A011,IBM Storwize V7000,Storage,Data Center,Active,2019-12-01
A012,HP EliteBook 840,Laptop,Floor-1,Active,2023-01-10
A013,Juniper SRX345,Firewall,Server Room,Maintenance,2020-07-22
A014,Dell Vostro 3500,Laptop,Floor-4,Active,2022-03-15
A015,Cisco Meraki MS120,Switch,Floor-2,Active,2021-05-30
A016,HP ProLiant DL380,Server,Data Center,Active,2018-11-09
A017,Zebra ZT230,Printer,Warehouse,Inactive,2017-08-14
A018,Lenovo IdeaPad 5,Laptop,Floor-3,Active,2023-02-28
A019,Palo Alto PA-220,Firewall,Server Room,Active,2022-09-19
A020,Western Digital My Cloud,NAS,Server Room,Active,2021-06-07
A021,ASUS ExpertBook B9,Laptop,Floor-1,Active,2023-04-01
A022,NetGear ProSAFE M4300,Switch,Floor-4,Active,2020-10-12
A023,Dell XPS 15,Laptop,Floor-2,Active,2022-11-23
A024,HP Z4 G4 Workstation,Workstation,Data Center,Active,2021-08-17
A025,Ubiquiti UniFi AP,Access Point,Floor-1,Active,2022-06-05
A026,Ubiquiti UniFi AP,Access Point,Floor-2,Active,2022-06-05
A027,Ubiquiti UniFi AP,Access Point,Floor-3,Active,2022-06-05
A028,Ubiquiti UniFi AP,Access Point,Floor-4,Active,2022-06-05
A029,Microsoft Surface Pro 9,Laptop,Floor-1,Active,2023-03-15
A030,Cisco IP Phone 8841,Phone,Floor-1,Inactive,2019-01-20
A031,MacBook Pro M3,Laptop,Floor-5,Active,2024-01-15
A032,Synology NAS DS923+,NAS,Data Center,Active,2023-08-20
A033,Aruba AP-515,Access Point,Floor-5,Active,2023-11-05
A034,Dell PowerEdge R750,Server,Data Center,Active,2023-06-18
A035,Cisco Catalyst 9300,Switch,Server Room,Active,2024-02-10
